category,course_code,course_number,course_title,credit_hours
Communication,COMM,203,Public Speaking,3
Communication,COMM,205,Communication for Technical Professions,3
Communication,COMM,243,Argumentation and Debate,3
Communication,ENGL,103,Introduction to Rhetoric and Composition,3
Communication,ENGL,104,Composition and Rhetoric,3
Communication,ENGL,203,Writing about Literature,3
Communication,ENGL,210,Technical and Professional Writing,3
Mathematics,MATH,135,Mathematics for Teachers I,3
Mathematics,MATH,136,Mathematics for Teachers II,3
Mathematics,MATH,140,Mathematics for Business and Social Sciences,3
Mathematics,MATH,142,Business Calculus,3
Mathematics,MATH,147,Calculus I for Biological Sciences,4
Mathematics,MATH,148,Calculus II for Biological Sciences,4
Mathematics,MATH,150,"Functions, Trigonometry and Linear Systems",4
Mathematics,MATH,151,Engineering Mathematics I,4
Mathematics,MATH,152,Engineering Mathematics II,4
Mathematics,MATH,167,Explorations in Mathematics,3
Mathematics,MATH,168,Finite Mathematics,3
Mathematics,MATH,171,Calculus I,4
Mathematics,MATH,172,Calculus II,4
Mathematics,PHIL,240,Introduction to Logic,3
Mathematics,STAT,201,Elementary Statistical Inference,3
Life and Physical Sciences,AGSM,105,The World Has a Drinking Problem - Global Water Scarcity,3
Life and Physical Sciences,ANSC,107,General Animal Science,3
Life and Physical Sciences,ANTH,225,Introduction to Biological Anthropology,3
Life and Physical Sciences,ANTH,226,Introduction to Biological Anthropology Laboratory,1
Life and Physical Sciences,ARSC,104,"Contemporary Issues in Science - Cosmos, Earth and Humanity",3
Life and Physical Sciences,ARSC,105,Contemporary Issues in Science - The Environment,3
Life and Physical Sciences,ASTR,101,Basic Astronomy,3
Life and Physical Sciences,ASTR,102,Observational Astronomy,1
Life and Physical Sciences,ASTR,103,Introduction to Stars and Exoplanets,3
Life and Physical Sciences,ASTR,104,Introduction to Galaxies and Cosmology,3
Life and Physical Sciences,ASTR,109,Big Bang and Black Holes,3
Life and Physical Sciences,ASTR,111,Overview of Modern Astronomy,4
Life and Physical Sciences,ATMO,110,Disasters and Society,3
Life and Physical Sciences,ATMO,201,Weather and Climate,3
Life and Physical Sciences,ATMO,202,Weather and Climate Laboratory,1
Life and Physical Sciences,ATMO,210,Climate Change,3
Life and Physical Sciences,BESC,201,Introduction to Bioenvironmental Sciences,3
Life and Physical Sciences,BESC,204,Molds and Mushrooms: The Impact of Fungi on Society and the Environment,3
Life and Physical Sciences,BIOL,104,"Contemporary Issues in Science - Cosmos, Earth and Humanity",3
Life and Physical Sciences,BIOL,107,Zoology,4
Life and Physical Sciences,BIOL,111,Introductory Biology I,4
Life and Physical Sciences,BIOL,112,Introductory Biology II,4
Life and Physical Sciences,BIOL,113,Essentials in Biology,3
Life and Physical Sciences,CHEM,105,Contemporary Issues in Science - The Environment,3
Life and Physical Sciences,CHEM,106,Molecular Science for Citizens,3
Life and Physical Sciences,CHEM,107,General Chemistry for Engineering Students,3
Life and Physical Sciences,CHEM,116,Molecular Science for Citizens Laboratory,1
Life and Physical Sciences,CHEM,117,General Chemistry for Engineering Students Laboratory,1
Life and Physical Sciences,CHEM,119,Fundamentals of Chemistry I,4
Life and Physical Sciences,CHEM,120,Fundamentals of Chemistry II,4
Life and Physical Sciences,ECCB,205,Fundamentals of Ecology,3
Life and Physical Sciences,ECCB,215,Fundamentals of Ecology--Laboratory,1
Life and Physical Sciences,ECCB,309,Forest Ecology,3
Life and Physical Sciences,ENTO,322,Insects and Human Society,3
Life and Physical Sciences,FIVS,205,Introduction to Forensic and Investigative Sciences,3
Life and Physical Sciences,GEOG,203,Planet Earth,3
Life and Physical Sciences,GEOG,205,Environmental Change,3
Life and Physical Sciences,GEOG,213,Planet Earth Lab,1
Life and Physical Sciences,GEOL,101,Principles of Geology,3
Life and Physical Sciences,GEOL,102,Principles of Geology Laboratory,1
Life and Physical Sciences,GEOL,106,Historical Geology,4
Life and Physical Sciences,GEOL,110,Disasters and Society,3
Life and Physical Sciences,GEOL,207,Dinosaur World,3
Life and Physical Sciences,GEOL,208,Life on a Dynamic Planet,3
Life and Physical Sciences,HORT,201,Horticultural Science and Practices,3
Life and Physical Sciences,HORT,202,Horticultural Science and Practices Laboratory,1
Life and Physical Sciences,KINE,120,The Science of Basic Health and Fitness,1
Life and Physical Sciences,KINE,223,Introduction to the Science of Health and Fitness,3
Life and Physical Sciences,MARS,102,Earth and Ocean Science,4
Life and Physical Sciences,NUTR,222,Nutrition for Health and Health Care,3
Life and Physical Sciences,OCNG,251,The Blue Planet - Our Oceans,3
Life and Physical Sciences,OCNG,252,The Blue Planet - Our Oceans Laboratory,1
Life and Physical Sciences,PHYS,104,"Contemporary Issues in Science - Cosmos, Earth and Humanity",3
Life and Physical Sciences,PHYS,109,Big Bang and Black Holes,3
Life and Physical Sciences,PHYS,123,Physics for Future Presidents,3
Life and Physical Sciences,PHYS,201,College Physics,4
Life and Physical Sciences,PHYS,202,College Physics,4
Life and Physical Sciences,PHYS,206,Newtonian Mechanics for Engineering and Science,3
Life and Physical Sciences,PHYS,207,Electricity and Magnetism for Engineering and Science,3
Life and Physical Sciences,PHYS,226,Physics of Motion Laboratory for the Sciences,1
Life and Physical Sciences,PHYS,227,Electricity and Magnetism Laboratory for the Sciences,1
Life and Physical Sciences,POSC,201,General Avian Science,3
Life and Physical Sciences,SCSC,105,World Food and Fiber Crops,3
Life and Physical Sciences,SCSC,301,Soil Science,4
"Language, Philosophy and Culture",AFST,201,Introduction to Africana Studies,3
"Language, Philosophy and Culture",AFST,204,Introduction to African-American Literature,3
"Language, Philosophy and Culture",ANTH,204,The Prehistoric World,3
"Language, Philosophy and Culture",ANTH,205,Peoples and Cultures of the World,3
"Language, Philosophy and Culture",ANTH,210,Social and Cultural Anthropology,3
"Language, Philosophy and Culture",ANTH,316,Nautical Archaeology,3
"Language, Philosophy and Culture",ARAB,201,Intermediate Arabic I,3
"Language, Philosophy and Culture",ARAB,202,Intermediate Arabic II,3
"Language, Philosophy and Culture",ARAB,258,Global Middle Eastern Cultures,3
"Language, Philosophy and Culture",ARCH,213,Sustainable Architecture,3
"Language, Philosophy and Culture",CHIN,201,Intermediate Chinese I,3
"Language, Philosophy and Culture",CHIN,202,Intermediate Chinese II,3
"Language, Philosophy and Culture",CLAS,220,History of Christianity: Origins to the Reformation,3
"Language, Philosophy and Culture",CLAS,221,Intermediate Latin I,3
"Language, Philosophy and Culture",CLAS,250,Greek and Roman Civilization,3
"Language, Philosophy and Culture",CLAS,251,Classical Mythology,3
"Language, Philosophy and Culture",CLAS,261,Great Books of the Classical Tradition,3
"Language, Philosophy and Culture",CLAS,262,Great Books of Christian Antiquity and the Latin Middle Ages,3
"Language, Philosophy and Culture",COSC,222,Social Issues in the History of the Construction Environment,3
"Language, Philosophy and Culture",DCED,201,Dance History,3
"Language, Philosophy and Culture",ENGL,202,Environmental Literature,3
"Language, Philosophy and Culture",ENGL,204,Introduction to African-American Literature,3
"Language, Philosophy and Culture",ENGL,206,Twenty-first Century Literature and Culture,3
"Language, Philosophy and Culture",ENGL,207,Human Thinking and Digital Culture,3
