cname,mname
College of Agriculture and Life Sciences,Agribusiness
College of Agriculture and Life Sciences,Agricultural Economics
College of Agriculture and Life Sciences,Financial Planning
College of Agriculture and Life Sciences,Agricultural Communications and Journalism
College of Agriculture and Life Sciences,Agricultural Leadership and Development
College of Agriculture and Life Sciences,Agricultural Science
College of Agriculture and Life Sciences,Animal Science
College of Agriculture and Life Sciences,Biochemistry
College of Agriculture and Life Sciences,Genetics
College of Agriculture and Life Sciences,Agricultural Systems Management
College of Agriculture and Life Sciences,Biological and Agricultural Engineering
College of Agriculture and Life Sciences,Ecology and Conservation Biology
College of Agriculture and Life Sciences,Entomology
College of Agriculture and Life Sciences,Forensic and Investigative Sciences
College of Agriculture and Life Sciences,Food Science and Technology
College of Agriculture and Life Sciences,Horticulture
College of Agriculture and Life Sciences,"Hospitality, Hotel Management and Tourism"
College of Agriculture and Life Sciences,Nutrition
College of Agriculture and Life Sciences,Bioenvironmental Sciences
College of Agriculture and Life Sciences,Poultry Science
College of Agriculture and Life Sciences,"Rangeland, Wildlife and Fisheries Management"
College of Agriculture and Life Sciences,Plant and Environmental Soil Science
College of Agriculture and Life Sciences,Turfgrass Science
College of Architecture,Architecture
College of Architecture,Construction Science
College of Architecture,Landscape Architecture
College of Architecture,Urban and Regional Planning
College of Architecture,University Studies
College of Arts and Sciences,Anthropology
College of Arts and Sciences,Meteorology
College of Arts and Sciences,Biology
College of Arts and Sciences,Microbiology
College of Arts and Sciences,Molecular and Cell Biology
College of Arts and Sciences,Neuroscience
College of Arts and Sciences,Zoology
College of Arts and Sciences,Chemistry
College of Arts and Sciences,Communication
College of Arts and Sciences,Journalism
College of Arts and Sciences,Telecommunication Media Studies
College of Arts and Sciences,Economics
College of Arts and Sciences,English
College of Arts and Sciences,Environmental Geoscience
College of Arts and Sciences,Geographic Information Science and Technology
College of Arts and Sciences,Geography
College of Arts and Sciences,Geology
College of Arts and Sciences,Geophysics
College of Arts and Sciences,Classics
College of Arts and Sciences,Global Studies
College of Arts and Sciences,Modern Languages
College of Arts and Sciences,Spanish
College of Arts and Sciences,History
College of Arts and Sciences,Applied Mathematics
College of Arts and Sciences,Mathematics
College of Arts and Sciences,Oceanography
College of Arts and Sciences,Ocean Studies
College of Arts and Sciences,Philosophy
College of Arts and Sciences,"Society, Ethics, and Law"
College of Arts and Sciences,Physics
College of Arts and Sciences,Psychology
College of Arts and Sciences,Sociology
College of Arts and Sciences,Women's and Gender Studies
College of Arts and Sciences,Statistics
College of Arts and Sciences,University Studies
Mays Business School,Accounting
Mays Business School,"Accounting-  BBA/ MS, 3+2 Program"
Mays Business School,Finance
Mays Business School,Management Information Systems
Mays Business School,Supply Chain Management
Mays Business School,Management
Mays Business School,Marketing
Mays Business School,University Studies
College of Dentistry,Dental Hygiene
College of Education and Human Development,Human Resource Development
College of Education and Human Development,Learning Technology and Performance Systems
College of Education and Human Development,Education
College of Education and Human Development,Human Development and Family Sciences
College of Education and Human Development,Kinesiology
College of Education and Human Development,Sport Management
College of Education and Human Development,Early Childhood Development &  Education
College of Engineering,Aerospace Engineering
College of Engineering,Biomedical Engineering
College of Engineering,Chemical Engineering
College of Engineering,Civil Engineering
College of Engineering,Environmental Engineering
College of Engineering,Computer Engineering
College of Engineering,Computer Science
College of Engineering,Computing
College of Engineering,Electrical Engineering
College of Engineering,Electronic Systems Engineering Technology
College of Engineering,Industrial Distribution
College of Engineering,Information Technology Service Management
College of Engineering,Manufacturing and Mechanical Engineering Technology
College of Engineering,Multidisciplinary Engineering Technology
College of Engineering,Data Engineering
College of Engineering,Industrial Engineering
College of Engineering,Materials Science and Engineering
College of Engineering,Mechanical Engineering
College of Engineering,Architectural Engineering
College of Engineering,Interdisciplinary Engineering
College of Engineering,Nuclear Engineering
College of Engineering,Ocean Engineering
College of Engineering,Petroleum Engineering
Bush School of Government and Public Service,International Affairs
Bush School of Government and Public Service,International Studies
Bush School of Government and Public Service,Political Science
School of Public Health,Community Health
School of Public Health,Health
Texas A& M University at Galveston,Foundational Sciences
Texas A& M University at Galveston,Liberal Studies
Texas A& M University at Galveston,Maritime Studies
Texas A& M University at Galveston,Marine and Coastal Environmental Science
Texas A& M University at Galveston,Coastal Environmental Science and Society
Texas A& M University at Galveston,Marine Sciences
Texas A& M University at Galveston,Marine Biology
Texas A& M University at Galveston,Marine Fisheries
Texas A& M University at Galveston,Marine Engineering Technology
Texas A& M University at Galveston,Maritime Business Administration
Texas A& M University at Galveston,Maritime Transportation
Texas A& M University at Galveston,Marine Transportation
Texas A& M University at Galveston,University Studies
Texas A& M University at Qatar,Chemical Engineering
Texas A& M University at Qatar,Electrical Engineering
Texas A& M University at Qatar,Mechanical Engineering
Texas A& M University at Qatar,Petroleum Engineering
College of Agriculture and Life Sciences,Agricultural Economics-  PHD
College of Agriculture and Life Sciences,"Agricultural Leadership, Education, and Communications"
College of Agriculture and Life Sciences,Agricultural Development
College of Agriculture and Life Sciences,Agricultural Education
